Year,2°C,7°C,15°C
0,52.0,52.0,52.0
1,53.78271791376245,55.13342441241204,59.563592289074066
2,55.62466826800453,58.44954645552873,68.18578788301912
3,57.52768834138142,61.958263599099645,78.0019716463279
4,59.49361825818799,65.66973378014447,89.1587315517542
5,61.52413020673105,69.59378809386544,101.81114345313077
6,63.621243248346815,73.7421031780484,116.14775217946439
7,65.78707751994735,78.12696480597813,132.36454720882767
8,68.02379582321426,82.76100873812034,150.66101889411857
9,70.3336036245988,87.65722072212156,171.2401584630605
10,72.71874905532181,92.82893649280922,194.30845801820215
11,75.18152291137366,98.28984177219155,220.07591053691755
12,77.72425865351443,104.05397226945769,248.7407190220696
13,80.34933240727369,110.1357136809776,280.4464806691021
14,83.05916296295067,116.54980169030213,315.4424972972498
15,85.85621177561413,123.311321968163,353.92854401300923
16,88.74298296510251,130.4357101724727,396.0277016862227
17,91.72202331602378,137.93875194832472,441.78635695007904
18,94.79592227775552,145.83658292799328,491.174202201113
19,97.96731196444493,154.1456887309335,544.0842355992056
20,101.23886715500878,162.8829049637814,600.3327610675842
21,104.61330529313341,172.06487986895337,659.6593882928221
22,108.09338648727478,181.69597734339783,721.7368607639282
23,111.6819135106585,191.79424532926546,786.3185349471448
24,115.38173180127967,202.3841629810825,852.8658543885764
25,119.19572946190308,213.48857035856616,920.7558912512939
26,123.12683726006304,225.12866842662444,989.3961362584209
27,127.1780286280635,237.3240190553563,1058.2244986931337
28,131.35231966297798,250.09254502005155,1126.7093063986613
29,135.65276912664962,263.4505300011909,1194.349305778285
30,140.08247844569112,277.41261858444597,1260.6736617953384
31,144.64459171148485,291.99181626067923,1325.2419579732084
32,149.34229568018262,307.19948942594414,1387.644196395334
33,154.17881613200802,323.0453653814849,1447.5007977052067
34,159.157348928374,339.53753233373675,1504.4626011063706
35,164.28124024427507,356.6824393943257,1558.2703230505967
36,169.55387255437063,374.48489658006866,1608.8949995302871
37,174.97859914194814,392.94807481297346,1656.3084743789077
38,180.55874409892297,412.073505920239,1700.5067616731985
39,186.29760232583837,431.86108263425467,1741.5139955418483
40,192.19843953186557,452.3090585926012,1779.382430165494
41,198.26449223480367,473.4140483380497,1814.1924397767216
42,204.4989677610798,495.1710273185628,1846.052518660065
43,210.90504424574888,517.5733318872933,1875.0992811520077
44,217.48587063249389,540.6125453395142,1901.497461640981
45,224.24456667362563,564.276355204419,1925.4399145673651
46,231.18422293008297,588.5481418769706,1947.1476144234891
47,238.30790077143251,613.4084436404146,1966.8474673554167
48,245.61863237586897,638.8350097198564,1984.6485983684283
49,253.1194207302149,664.8028002822607,2000.6956341586297
50,260.8132396299208,691.2839864364514,2015.139846690356
